date,campaign_id,campaign_name,impressions,clicks,conversions,spend,revenue,region,platform
2025-11-05,C002,Black_Friday_Sale,125000,3750,187,2200.00,4675.00,Los Angeles,Google
2025-11-05,C003,Winter_Collection,102000,3060,153,1780.00,3825.00,Chicago,Instagram
2025-11-05,C004,Tech_Gadgets,168000,5040,252,3500.00,6300.00,Miami,Facebook
2025-11-05,C005,Food_Delivery,82000,2460,123,1500.00,3075.00,Houston,TikTok
2025-11-06,C001,Holiday_Promo,148000,4440,222,2950.00,5550.00,New York,Facebook
2025-11-06,C002,Black_Friday_Sale,132000,3960,198,2320.00,4950.00,Los Angeles,Google
2025-11-06,C003,Winter_Collection,108000,3240,162,1860.00,4050.00,Chicago,Instagram
2025-11-06,C004,Tech_Gadgets,175000,5250,262,3650.00,6550.00,Miami,Facebook
2025-11-06,C005,Food_Delivery,86000,2580,129,1580.00,3225.00,Houston,TikTok
2025-11-07,C001,Holiday_Promo,155000,4650,232,3100.00,5800.00,New York,Facebook
2025-11-07,C002,Black_Friday_Sale,145000,4350,217,2500.00,5425.00,Los Angeles,Google
2025-11-07,C003,Winter_Collection,25000,750,37,520.00,925.00,Chicago,Instagram
2025-11-07,C004,Tech_Gadgets,182000,5460,273,3800.00,6825.00,Miami,Facebook
2025-11-07,C005,Food_Delivery,91000,2730,136,1680.00,3400.00,Houston,TikTok
2025-11-08,C001,Holiday_Promo,165000,4950,247,3300.00,6175.00,New York,Facebook
2025-11-08,C002,Black_Friday_Sale,158000,4740,237,2700.00,5925.00,Los Angeles,Google
2025-11-08,C003,Winter_Collection,115000,3450,172,1980.00,4300.00,Chicago,Instagram
2025-11-08,C004,Tech_Gadgets,195000,5850,292,4050.00,7300.00,Miami,Facebook
2025-11-08,C005,Food_Delivery,96000,2880,144,1780.00,3600.00,Houston,TikTok
2025-11-09,C001,Holiday_Promo,178000,5340,267,3550.00,6675.00,New York,Facebook
2025-11-09,C002,Black_Friday_Sale,172000,5160,258,2950.00,6450.00,Los Angeles,Google
2025-11-09,C003,Winter_Collection,122000,3660,183,2100.00,4575.00,Chicago,Instagram
2025-11-09,C004,Tech_Gadgets,210000,6300,315,4350.00,7875.00,Miami,Facebook
2025-11-09,C005,Food_Delivery,102000,3060,153,1900.00,3825.00,Houston,TikTok
2025-11-10,C001,Holiday_Promo,185000,5550,277,3700.00,6925.00,New York,Facebook
2025-11-10,C002,Black_Friday_Sale,188000,5640,282,3200.00,7050.00,Los Angeles,Google
2025-11-10,C003,Winter_Collection,128000,3840,192,2200.00,4800.00,Chicago,Instagram
2025-11-10,C004,Tech_Gadgets,225000,6750,337,4650.00,8425.00,Miami,Facebook
2025-11-10,C005,Food_Delivery,108000,3240,162,2020.00,4050.00,Houston,TikTok
2025-11-11,C001,Holiday_Promo,195000,5850,292,3900.00,7300.00,New York,Facebook
2025-11-11,C002,Black_Friday_Sale,205000,6150,307,3500.00,7675.00,Los Angeles,Google
2025-11-11,C003,Winter_Collection,135000,4050,202,2320.00,5050.00,Chicago,Instagram
2025-11-11,C004,Tech_Gadgets,240000,7200,360,4950.00,9000.00,Miami,Facebook
2025-11-11,C005,Food_Delivery,115000,3450,172,2160.00,4300.00,Houston,TikTok
2025-11-12,C001,Holiday_Promo,208000,6240,312,4150.00,7800.00,New York,Facebook
2025-11-12,C002,Black_Friday_Sale,225000,6750,337,3850.00,8425.00,Los Angeles,Google
2025-11-12,C003,Winter_Collection,142000,4260,213,2450.00,5325.00,Chicago,Instagram
2025-11-12,C004,Tech_Gadgets,258000,7740,387,5300.00,9675.00,Miami,Facebook
2025-11-12,C005,Food_Delivery,122000,3660,183,2300.00,4575.00,Houston,TikTok
2025-11-13,C001,Holiday_Promo,220000,6600,330,4400.00,8250.00,New York,Facebook
2025-11-13,C002,Black_Friday_Sale,245000,7350,367,4200.00,9175.00,Los Angeles,Google
2025-11-13,C003,Winter_Collection,150000,4500,225,2600.00,5625.00,Chicago,Instagram
2025-11-13,C004,Tech_Gadgets,275000,8250,412,5650.00,10300.00,Miami,Facebook
2025-11-13,C005,Food_Delivery,130000,3900,195,2460.00,4875.00,Houston,TikTok
2025-11-14,C001,Holiday_Promo,235000,7050,352,4700.00,8800.00,New York,Facebook
2025-11-14,C002,Black_Friday_Sale,268000,8040,402,4600.00,10050.00,Los Angeles,Google
2025-11-14,C003,Winter_Collection,158000,4740,237,2750.00,5925.00,Chicago,Instagram
2025-11-14,C004,Tech_Gadgets,295000,8850,442,6050.00,11050.00,Miami,Facebook
2025-11-14,C005,Food_Delivery,138000,4140,207,2620.00,5175.00,Houston,TikTok
